"X","Y"
235680.72796215,604500.30453484
235709.71402213,604512.67046908
235722.74812213,604517.98986908
235764.24158229,604530.301255
235780.37459674,604746.28126536
235879.87441355,605011.55915722
236049.78233095,605238.28337971
236055.90863095,605244.41137971
236081.54512212,605270.00927105
236216.4967365,605360.07071259
236337.61834727,605453.14520707
236386.07672557,605473.2417802
236405.7660375,605486.38165869
236428.79766127,605490.95893125
236518.35553875,605528.10021614
236530.76611345,605536.38257634
236545.28357496,605539.26776379
236579.00210851,605553.25145451
236687.82350995,605567.59602433
236913.07999833,605612.36329949
236938.07869833,605612.36409949
236963.07518854,605612.36489942
236988.07179798,605612.36579935
237013.07429808,605612.36659949
237038.08281087,605612.36739949
237223.29093042,605575.57229822
237237.06308471,605577.38778918
237413.08509821,605612.36969961
237438.08349821,605612.37039961
237455.39786249,605612.36408146
237554.00533227,605653.25781933
237811.7843288,605687.23717427
237962.62665732,605803.14837215
238204.00644824,605903.25212613
238463.07919808,605937.40289949
238488.07769808,605937.40369949
238513.09021252,605937.40429962
238538.08469808,605937.40509949
238652.81213838,605922.28893488
238622.30634366,605962.00120725
238606.60866232,605999.86414569
238597.37279723,606011.88325626
238563.45502501,606093.67005385
238536.89814727,606113.58954076
238537.43112897,606114.30011779
238369.61369452,606241.67618757
238356.33299452,606254.94488757
238355.60228793,606255.67568876
238330.59338793,606280.71368876
238280.51342893,606355.74925681
238280.31314419,606355.94957127
238255.31414419,606380.99757127
238203.32607838,606458.92550604
238047.3686646,606661.88070183
237951.30208454,606893.52721187
237922.2447803,606919.37412627
237770.03909414,607165.96591713
237760.86449414,607187.21451713
237702.31217974,607420.58838138
237655.46330722,607504.92441172
237648.52122498,607533.57183722
237623.71445198,607551.14796386
237455.5828172,607755.18895171
237439.42321546,607781.15807222
237437.51171984,607784.12411307
237309.40064291,607944.19694696
237203.64773544,608189.53950644
237170.85413483,608306.66594136
237072.92953573,608643.9547233
237035.20019534,608984.8048164
237114.84664258,609318.35950837
237302.50227294,609605.39200389
237523.03445853,609772.04661406
237519.56100897,609777.01105708
237527.33400897,609782.44955708
237540.04678954,609791.19891465
237541.68519116,609792.30798421
237541.60464144,609792.44419579
237543.83381133,609793.76243175
237549.49051765,609797.59157882
237557.41165825,609803.14469165
237561.80477083,609806.35792047
237568.34042612,609811.03953128
237580.47191577,609821.49224384
237596.76951577,609834.37574384
237597.10746355,609833.94824061
237627.94123715,609859.83360842
237637.54453715,609866.99260842
237643.24527231,609859.34546915
237841.6333469,609991.76338749
238008.03145648,610034.52893995
237970.40910537,610178.4870644
237997.88075252,610513.26346829
238134.65720273,610820.05677764
238365.30597844,611064.25152422
238663.80299396,611218.29523139
238996.46885134,611264.80715814
239078.02829646,611262.37307903
239088.09629763,611262.37319986
239113.09900835,611262.37379971
239138.1037928,611262.37409986
239163.09639865,611262.37469971
239173.18327146,611262.37490146
239231.30673133,611270.03600194
239255.88252114,611286.43117183
239318.38183486,611298.84816998
239323.20716494,611300.84924887
239337.16664753,611356.4444336
239345.48234753,611378.4456336
239452.62373901,611577.03445976
239449.35361072,611579.14803951
239453.30921072,611585.26813951
239470.32476331,611609.8436812
239471.7773827,611612.53614184
239480.0841827,611623.97364184
239480.10005093,611623.96211709
239489.50895409,611637.55138435
239506.51305409,611660.51438435
239507.09991022,611660.07981742
239511.63120768,611666.01756873
239511.48204382,611666.12395755
239517.50124382,611674.56325755
239517.9020831,611674.27736514
239534.25809192,611696.56707707
239546.98919578,611714.71965045
239553.44490626,611723.55818558
239584.98670719,611768.02348095
239595.11373692,611782.04137333
239599.34907799,611787.79842651
239603.19691689,611793.15822776
239611.98370643,611805.20702028
239623.03090643,611820.12052028
239647.95545804,611852.37255829
239658.69355804,611865.69715829
239672.33033313,611882.25207702
239685.63323313,611898.05327702
239749.52201117,611967.07322318
239760.05341117,611977.42802318
239783.77052304,611999.99586927
239798.24002304,612013.31976927
239907.58850904,612100.69461657
239920.74380904,612109.77441657
239981.27527917,612148.41992839
239996.97237917,612157.66542839
240128.14274281,612222.50057188
240145.94934281,612229.73357188
240267.16946026,612270.16072846
240276.26606026,612272.56082846
240335.34611066,612286.24704138
240346.54241066,612288.48534138
240351.48033353,612289.45958583
240359.52203353,612291.02518583
240547.40330085,612309.44892834
240572.40240085,612309.52932834
240733.36786847,612297.01368294
240741.67336847,612295.68688294
240760.68625888,612292.461277
240766.06799036,612291.49477097
240767.31436826,612291.28359521
240968.03181747,612226.15399329
241058.57809114,612216.69351795
241063.48277764,612215.92919357
241071.09166766,612231.53587571
241081.75146766,612252.30347571
241092.13035157,612271.98184105
241096.35535157,612279.78094105
241161.6476271,612384.35286065
241176.9427271,612405.78496065
241200.51351812,612437.47089789
241210.21681812,612449.99089789
241301.43774771,612552.34823846
241314.20204771,612564.83123846
241336.73896314,612586.19701698
241348.97606314,612597.44261698
241456.15199226,612683.14665596
241481.14739226,612700.46295596
241601.63532444,612771.33090071
241601.48378415,612771.62059196
241607.30601878,612774.66625925
241608.91786555,612775.61430662
241623.30246555,612782.69630662
241623.49213758,612782.31105438
241718.38789521,612825.10304125
241744.55299521,612835.11034125
241786.75496351,612849.18435176
241792.06452436,612851.06298842
241794.92935339,612851.91044378
241826.88450463,612862.56722479
241844.48870463,612867.60052479
241844.76016619,612866.65107539
241870.95401429,612874.39957162
241870.81288898,612874.90658543
241882.47498898,612878.15268543
241911.20710668,612885.69219668
241930.96120668,612890.56339668
241942.12965319,612893.2324362
241947.28652913,612894.7731497
241950.8941105,612895.89581552
241961.29571001,612899.3421342
241988.54003097,612907.93898654
242013.36023097,612915.38278654
242145.65889435,612945.45180101
242170.65949435,612949.37350101
242262.37328131,612958.22409162
242312.61970948,612978.1185844
242321.76342738,612981.4024685
242330.88712258,612984.68613686
242355.18692892,612993.08054632
242364.36712892,612996.12034632
242421.28772895,613013.10971494
242443.20792895,613018.94921494
242585.20691846,613045.96631855
242605.16681846,613048.28561855
242686.18495654,613054.37703321
242696.68065654,613054.73833321
242753.28972127,613055.08372035
242767.73282127,613054.76292035
242852.16432511,613049.26614132
242962.86436247,613150.36061789
243002.32776247,613175.37851789
243262.86530146,613292.27212619
243302.50240146,613303.60442619
243302.61782791,613303.20069795
243345.07024164,613315.11707313
243363.76204164,613319.67407313
243363.81715121,613319.44802592
243395.77535286,613327.34075052
243411.11915286,613330.65595052
243432.17527962,613335.19479213
243435.94830684,613336.00046789
243456.58990684,613340.36656789
243457.49412949,613340.55739793
243525.86972291,613390.87754225
243793.24487447,613488.15872148
